Gene	"Gene description"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"
MOGAT1	"Monoacylglycerol O-acyltransferase 1"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"
MOGAT2	"Monoacylglycerol O-acyltransferase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MOGAT3	"Monoacylglycerol O-acyltransferase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MOGS	"Mannosyl-oligosaccharide glucosidase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MPC1	"Mitochondrial pyruvate carrier 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MPC1L	"Mitochondrial pyruvate carrier 1 like"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
MPC2	"Mitochondrial pyruvate carrier 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MPI	"Mannose phosphate isomerase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MPO	Myeloperoxidase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MPST	"Mercaptopyruvate sulfurtransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MRI1	"Methylthioribose-1-phosphate isomerase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MRPL58	"Mitochondrial ribosomal protein L58"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MSMO1	"Methylsterol monooxygenase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MSRA	"Methionine sulfoxide reductase A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MT-ATP6	"Mitochondrially encoded ATP synthase membrane subunit 6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MT-ATP8	"Mitochondrially encoded ATP synthase membrane subunit 8"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MT-CO1	"Mitochondrially encoded cytochrome c oxidase I"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MT-CO2	"Mitochondrially encoded cytochrome c oxidase II"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MT-CO3	"Mitochondrially encoded cytochrome c oxidase III"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MT-CYB	"Mitochondrially encoded cytochrome b"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MT-ND1	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MT-ND2	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MT-ND3	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MT-ND4	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MT-ND4L	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MT-ND5	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MT-ND6	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MTAP	"Methylthioadenosine phosphorylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTFMT	"Mitochondrial methionyl-tRNA formyltransferase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MTHFD1	"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTHFD1L	"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTHFD2	"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTHFD2L	"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTHFR	"Methylenetetrahydrofolate reductase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTHFS	"Methenyltetrahydrofolate synthetase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTM1	"Myotubularin 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTMR1	"Myotubularin related protein 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTMR12	"Myotubularin related protein 12"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTMR14	"Myotubularin related protein 14"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MTMR2	"Myotubularin related protein 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTMR6	"Myotubularin related protein 6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MTMR7	"Myotubularin related protein 7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MTMR8	"Myotubularin related protein 8"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MTPAP	"Mitochondrial poly(A) polymerase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTR	"5-methyltetrahydrofolate-homocysteine methyltransferase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MTREX	"Mtr4 exosome RNA helicase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTRR	"5-methyltetrahydrofolate-homocysteine methyltransferase reductase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MTTP	"Microsomal triglyceride transfer protein"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MUL1	"Mitochondrial E3 ubiquitin protein ligase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MVD	"Mevalonate diphosphate decarboxylase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MVK	"Mevalonate kinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MYCBP2	"MYC binding protein 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MYLIP	"Myosin regulatory light chain interacting protein"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MYLK	"Myosin light chain kinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MYLK2	"Myosin light chain kinase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MYLK3	"Myosin light chain kinase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
MYLK4	"Myosin light chain kinase family member 4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
MYO5B	"Myosin VB"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA10	"N-alpha-acetyltransferase 10, NatA catalytic subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA11	"N-alpha-acetyltransferase 11, NatA catalytic subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA15	"N-alpha-acetyltransferase 15, NatA auxiliary subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA20	"N-alpha-acetyltransferase 20, NatB catalytic subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA30	"N-alpha-acetyltransferase 30, NatC catalytic subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA40	"N-alpha-acetyltransferase 40, NatD catalytic subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA50	"N-alpha-acetyltransferase 50, NatE catalytic subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAA60	"N-alpha-acetyltransferase 60, NatF catalytic subunit"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NAA80	"N-alpha-acetyltransferase 80, NatH catalytic subunit"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAAA	"N-acylethanolamine acid amidase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NADK	"NAD kinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NADK2	"NAD kinase 2, mitochondrial"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NADSYN1	"NAD synthetase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAE1	"NEDD8 activating enzyme E1 subunit 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAGA	Alpha-N-acetylgalactosaminidase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAGK	"N-acetylglucosamine kinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAGLU	N-acetyl-alpha-glucosaminidase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAGPA	"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NAGS	"N-acetylglutamate synthase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAMPT	"Nicotinamide phosphoribosyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NANP	"N-acetylneuraminic acid phosphatase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NANS	"N-acetylneuraminate synthase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAPRT	"Nicotinate phosphoribosyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NARS1	"Asparaginyl-tRNA synthetase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAT1	"N-acetyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAT10	"N-acetyltransferase 10"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAT14	"N-acetyltransferase 14 (putative)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NAT16	"N-acetyltransferase 16 (putative)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
NAT2	"N-acetyltransferase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NAT8	"N-acetyltransferase 8 (putative)"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NAT8L	"N-acetyltransferase 8 like"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NAT9	"N-acetyltransferase 9 (putative)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NCOA1	"Nuclear receptor coactivator 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NCOA2	"Nuclear receptor coactivator 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NCOA3	"Nuclear receptor coactivator 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NCOA6	"Nuclear receptor coactivator 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NCOR1	"Nuclear receptor corepressor 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NCOR2	"Nuclear receptor corepressor 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDC1	"NDC1 transmembrane nucleoporin"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDST1	"N-deacetylase and N-sulfotransferase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDST2	"N-deacetylase and N-sulfotransferase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDST3	"N-deacetylase and N-sulfotransferase 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDST4	"N-deacetylase and N-sulfotransferase 4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
NDUFA1	"NADH:ubiquinone oxidoreductase subunit A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA10	"NADH:ubiquinone oxidoreductase subunit A10"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA11	"NADH:ubiquinone oxidoreductase subunit A11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA12	"NADH:ubiquinone oxidoreductase subunit A12"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA13	"NADH:ubiquinone oxidoreductase subunit A13"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA2	"NADH:ubiquinone oxidoreductase subunit A2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA3	"NADH:ubiquinone oxidoreductase subunit A3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA4	"NDUFA4 mitochondrial complex associated"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA5	"NADH:ubiquinone oxidoreductase subunit A5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA6	"NADH:ubiquinone oxidoreductase subunit A6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA7	"NADH:ubiquinone oxidoreductase subunit A7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA8	"NADH:ubiquinone oxidoreductase subunit A8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFA9	"NADH:ubiquinone oxidoreductase subunit A9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFAB1	"NADH:ubiquinone oxidoreductase subunit AB1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB1	"NADH:ubiquinone oxidoreductase subunit B1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB10	"NADH:ubiquinone oxidoreductase subunit B10"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB11	"NADH:ubiquinone oxidoreductase subunit B11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB2	"NADH:ubiquinone oxidoreductase subunit B2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB3	"NADH:ubiquinone oxidoreductase subunit B3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB4	"NADH:ubiquinone oxidoreductase subunit B4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB5	"NADH:ubiquinone oxidoreductase subunit B5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB6	"NADH:ubiquinone oxidoreductase subunit B6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB7	"NADH:ubiquinone oxidoreductase subunit B7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB8	"NADH:ubiquinone oxidoreductase subunit B8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFB9	"NADH:ubiquinone oxidoreductase subunit B9"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDUFC1	"NADH:ubiquinone oxidoreductase subunit C1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFC2	"NADH:ubiquinone oxidoreductase subunit C2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS1	"NADH:ubiquinone oxidoreductase core subunit S1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS2	"NADH:ubiquinone oxidoreductase core subunit S2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS3	"NADH:ubiquinone oxidoreductase core subunit S3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS4	"NADH:ubiquinone oxidoreductase subunit S4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS5	"NADH:ubiquinone oxidoreductase subunit S5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS6	"NADH:ubiquinone oxidoreductase subunit S6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS7	"NADH:ubiquinone oxidoreductase core subunit S7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NDUFS8	"NADH:ubiquinone oxidoreductase core subunit S8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFV1	"NADH:ubiquinone oxidoreductase core subunit V1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFV2	"NADH:ubiquinone oxidoreductase core subunit V2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NDUFV3	"NADH:ubiquinone oxidoreductase subunit V3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NEDD4	"NEDD4 E3 ubiquitin protein ligase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NEDD4L	"NEDD4 like E3 ubiquitin protein ligase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NEU1	"Neuraminidase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NEU2	"Neuraminidase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NEU3	"Neuraminidase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NEU4	"Neuraminidase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NEURL1	"Neuralized E3 ubiquitin protein ligase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
NEURL1B	"Neuralized E3 ubiquitin protein ligase 1B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NGLY1	"N-glycanase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NHLRC1	"NHL repeat containing E3 ubiquitin protein ligase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NIT2	"Nitrilase family member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NKTR	"Natural killer cell triggering receptor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NLN	Neurolysin	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NME1	"NME/NM23 nucleoside diphosphate kinase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NME1-NME2	"NME1-NME2 readthrough"	"Evidence at protein level"	"Evidence at protein level"		
NME2	"NME/NM23 nucleoside diphosphate kinase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NME3	"NME/NM23 nucleoside diphosphate kinase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NME4	"NME/NM23 nucleoside diphosphate kinase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NME6	"NME/NM23 nucleoside diphosphate kinase 6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NME7	"NME/NM23 family member 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NMNAT1	"Nicotinamide nucleotide adenylyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NMNAT2	"Nicotinamide nucleotide adenylyltransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NMNAT3	"Nicotinamide nucleotide adenylyltransferase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NMRK1	"Nicotinamide riboside kinase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NMRK2	"Nicotinamide riboside kinase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NMT1	"N-myristoyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NMT2	"N-myristoyltransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NNMT	"Nicotinamide N-methyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NNT	"Nicotinamide nucleotide transhydrogenase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NOL9	"Nucleolar protein 9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NOS1	"Nitric oxide synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NOS2	"Nitric oxide synthase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NOS3	"Nitric oxide synthase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NPAS2	"Neuronal PAS domain protein 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NPC1	"NPC intracellular cholesterol transporter 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NPC1L1	"NPC1 like intracellular cholesterol transporter 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NPEPPS	"Aminopeptidase puromycin sensitive"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NPL	"N-acetylneuraminate pyruvate lyase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NPR1	"Natriuretic peptide receptor 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NPR2	"Natriuretic peptide receptor 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NQO1	"NAD(P)H quinone dehydrogenase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NQO2	"N-ribosyldihydronicotinamide:quinone reductase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NR1D1	"Nuclear receptor subfamily 1 group D member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NRF1	"Nuclear respiratory factor 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NSD1	"Nuclear receptor binding SET domain protein 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NSD2	"Nuclear receptor binding SET domain protein 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NSD3	"Nuclear receptor binding SET domain protein 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NSDHL	"NAD(P) dependent steroid dehydrogenase-like"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NT5C	"5', 3'-nucleotidase, cytosolic"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NT5C1A	"5'-nucleotidase, cytosolic IA"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NT5C1B	"5'-nucleotidase, cytosolic IB"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
NT5C1B-RDH14	"NT5C1B-RDH14 readthrough"	"Evidence at transcript level"	"Evidence at transcript level"		
NT5C2	"5'-nucleotidase, cytosolic II"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
NT5C3A	"5'-nucleotidase, cytosolic IIIA"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
NT5C3B	"5'-nucleotidase, cytosolic IIIB"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
